adsh,ddate,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,InterestExpense,Liabilities,LiabilitiesCurrent,LongTermDebtNoncurrent,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,PaymentsToAcquirePropertyPlantAndEquipment,Revenues,StockholdersEquity,current_ratio,cash_ratio,debt_to_equity,debt_to_assets,net_profit_margin,return_on_assets,return_on_equity,free_cash_flow,operating_cf_ratio,risk_score,risk_category
0000015615-24-000021,20231231,162400000.0,3974253000.0,38100000.0,1277965.0,6652250000.0,2837219000.0,107203000.0,687277000.0,-49949000.0,-1630000.0,1020572.5,14000000.0,2706152000.0,0.875783902453742,0.013339277549193779,1.240746849776503,40.96213054187192,-3.5677857142857143,-0.3075677339901478,-0.018457573706133285,-1621403.0,0.10331496861963997,1.2760550008593128,2
0000015615-25-000021,20231231,1758000000.0,3974253000.0,1200000.0,1277965.0,1600000.0,2837219000.0,107203000.0,687277000.0,-49949000.0,-1630000.0,1020572.5,2072800000.0,2706152000.0,0.875783902453742,0.000422859956142747,0.0005910707122187407,0.0009101251422070534,-0.02409735623311463,-0.028412400455062572,-0.018457573706133285,-1621403.0,429.548125,0.3420367895240081,1
0000015615-25-000021,20241231,1599700000.0,3652530000.0,399903000.0,1277965.0,5987932000.0,2999699000.0,107203000.0,1121625000.0,162788000.0,-1630000.0,1020572.5,12303500000.0,2911857000.0,0.796440036173699,0.12514641564561674,1.1172365466061025,3.743159342376696,0.01323103182021376,0.10176158029630555,0.055905217872993074,-1621403.0,0.18731425139764446,0.6840898191463942,2
0000016732-24-000130,20230731,12058000000.0,2061000000.0,189000000.0,188000000.0,8395000000.0,2222000000.0,107203000.0,1143000000.0,0.0,-16000000.0,370000000.0,4643000000.0,3661000000.0,0.6562460074157956,0.08163390798159574,1.1918261271860953,0.6962182783214463,0.0,0.0,0.0,773000000.0,0.1361524717093508,0.3454665051442815,1
0000016732-24-000130,20240731,15235000000.0,2190000000.0,108000000.0,2000000.0,11439000000.0,3576000000.0,107203000.0,1185000000.0,0.0,974000000.0,517000000.0,712000000.0,3794000000.0,0.4777337419049428,0.029754261081792705,1.3900432556417415,0.7508368887430259,0.0,0.0,0.0,668000000.0,0.1035929714135851,0.7803480525760913,2
0000016732-25-000112,20240731,15235000000.0,2190000000.0,108000000.0,2000000.0,11439000000.0,3576000000.0,107203000.0,1185000000.0,567000000.0,1000000000.0,517000000.0,2709000000.0,3794000000.0,0.4777337419049428,0.029754261081792705,1.3900432556417415,0.7508368887430259,0.20930232558139536,0.03721693468985888,0.14944649446494465,668000000.0,0.1035929714135851,0.7802572944140433,2
0000016732-25-000112,20250731,14896000000.0,2232000000.0,132000000.0,345000000.0,10992000000.0,2906000000.0,107203000.0,1131000000.0,0.0,1124000000.0,426000000.0,721000000.0,3902000000.0,0.5698863335396006,0.044421839025489955,1.3394692050875343,0.7379162191192267,0.0,0.0,0.0,705000000.0,0.10289301310043668,0.6039842327773871,1
0000020286-24-000014,20221231,5178000000.0,14520073.0,12180000.0,53000000.0,1465000000.0,12204998.0,107203000.0,2052000000.0,-1000000.0,-1630000.0,4000000.0,6563000000.0,-2324000000.0,0.8311600980251587,0.2999388915531042,-0.48881229304679896,0.28292777134028585,-0.00015236934328813042,-0.00019312475859405175,0.0004302925989672978,2048000000.0,1.4006825938566554,-1.670534313636362,0
0000020286-24-000014,20231231,32769000000.0,14520073.0,12180000.0,54000000.0,1635000000.0,12204998.0,107203000.0,567000000.0,1843000000.0,-1630000.0,18000000.0,2048000000.0,-2385000000.0,0.8311600980251587,0.2999388915531042,-0.5220827782906251,0.04989471756843358,0.89990234375,0.0562421801092496,-0.7727463312368973,549000000.0,0.3467889908256881,-0.6009993695170078,0
0000020286-25-000009,20231231,24999000000.0,14520073.0,12180000.0,54000000.0,20671000000.0,12204998.0,107203000.0,567000000.0,1843000000.0,-1630000.0,10000000.0,2021000000.0,1437000000.0,0.8311600980251587,0.2999388915531042,2.7333819268741286,0.8268730749229969,0.9119247897080653,0.07372294891795672,1.2825330549756437,557000000.0,0.027429732475448696,0.4471705608646614,1
0000020286-25-000009,20241231,15677000000.0,14520073.0,12180000.0,52000000.0,1742000000.0,12204998.0,107203000.0,288000000.0,2292000000.0,-1630000.0,14000000.0,618000000.0,13935000000.0,0.8311600980251587,0.2999388915531042,0.11779100915248246,0.1111181986349429,3.70873786407767,0.14620144160234738,0.1644779332615716,274000000.0,0.1653272101033295,-0.19706577912059153,1
0000021175-24-000007,20221231,60927000000.0,14520073.0,12180000.0,112000000.0,52452000000.0,12204998.0,2349000000.0,919000000.0,682000000.0,-1630000.0,52000000.0,1134000000.0,8548000000.0,0.8311600980251587,0.2999388915531042,1.96517652671641,0.860899108769511,0.6014109347442681,0.011193723636483004,0.07978474496958353,867000000.0,0.01752078090444597,-0.022679049032000992,1
0000021175-24-000007,20231231,64711000000.0,14520073.0,12180000.0,127000000.0,54818000000.0,12204998.0,0.0,974000000.0,1205000000.0,-1630000.0,90000000.0,5490000000.0,2221000000.0,0.8311600980251587,0.2999388915531042,3.2457776994832686,0.8471202732147548,0.21948998178506376,0.018621254500780393,0.5425484016208915,884000000.0,0.01776788646065161,0.37567234586474874,1
0000021175-25-000008,20231231,64711000000.0,14520073.0,12180000.0,126000000.0,3070000000.0,12204998.0,0.0,2285000000.0,1205000000.0,-1630000.0,90000000.0,-11000000.0,-525000000.0,0.8311600980251587,0.2999388915531042,-1.9239010075635232,0.0474417023380878,-109.54545454545455,0.018621254500780393,-2.295238095238095,2195000000.0,0.744299674267101,-2.2110740885405273,0
0000021175-25-000008,20241231,13536000000.0,14520073.0,12180000.0,0.0,3023000000.0,12204998.0,2885000000.0,2571000000.0,959000000.0,-1630000.0,95000000.0,1387000000.0,2229000000.0,0.8311600980251587,0.2999388915531042,0.8570559020368179,0.22333037825059102,0.6914203316510454,0.07084810874704492,0.43023777478689995,2476000000.0,0.8504796559708898,-1.5491656415021011,0
0000023197-24-000104,20230731,515449000.0,305486000.0,18961000.0,2000.0,445727000.0,211970000.0,160029000.0,-4433000.0,12297000.0,-42024000.0,18311000.0,197808000.0,438299000.0,0.8924797421455309,0.08567420937832815,0.7015851480899937,0.8647354054426335,0.0621663431206018,0.02385687041782989,0.028056189952520995,-22744000.0,-0.00994554963015478,0.4762627073586212,1
0000023197-24-000104,20240731,34229000.0,336551000.0,32433000.0,25000.0,316000.0,183547000.0,170486000.0,-54495000.0,-55491000.0,-79890000.0,13083000.0,540403000.0,306253000.0,1.041546489868365,0.1627150453156889,0.0010312946598108681,0.00923193783049461,-0.10268447806544376,-1.6211691840252418,-0.18119332708577549,-67578000.0,-172.45253164556962,-0.009420020053684742,1
0000023197-25-000080,20240731,912434000.0,336551000.0,32433000.0,22153000.0,426105000.0,183547000.0,107203000.0,-54495000.0,-99985000.0,-79890000.0,13083000.0,540403000.0,306253000.0,1.041546489868365,0.1627150453156889,0.8718579077139778,0.4669981609628751,-0.18501932816805236,-0.1095805285642578,-0.3264784344969682,-67578000.0,-0.1278910127785405,0.25969948722116093,1
0000023197-25-000080,20250731,740835000.0,270186000.0,40019000.0,45650000.0,446868000.0,158249000.0,107203000.0,-8292000.0,-155302000.0,-139098000.0,8565000.0,499528000.0,104422000.0,0.9959692926937931,0.2254499089558448,1.6638206052689446,0.6031950434307234,-0.3108974872279432,-0.20963102445213846,-1.4872536438681503,-16857000.0,-0.018555815140041353,0.4355523873242781,1
0000024090-24-000031,20221231,1569970000.0,14520073.0,22973000.0,1277965.0,10743000.0,12204998.0,107203000.0,56920000.0,0.0,-1630000.0,100000.0,932000.0,268147000.0,0.8311600980251587,0.2999388915531042,0.039282101247108465,0.006842805913488793,0.0,0.0,0.0,56820000.0,5.298333798752676,-0.06592264705870315,1
0000024090-24-000031,20231231,1627016000.0,14520073.0,26997000.0,1277965.0,8510000.0,12204998.0,107203000.0,-2202000.0,0.0,-1630000.0,130000.0,43420000.0,-118155000.0,0.8311600980251587,0.2999388915531042,-0.06954848424762174,0.00523043411988573,0.0,0.0,-0.0,-2332000.0,-0.25875440658049353,-0.05762753124808509,1
